dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,22.030598,16.428321,36.975091,16.125780,-48.590564,5.522549,1.657451
0.010000,22.018717,16.584301,37.131523,15.643232,-48.254815,33.574983,1.635669
0.010000,22.010674,16.735767,37.283202,15.167914,-47.531842,72.297216,1.611510
0.010000,22.006597,16.882759,37.430250,14.704814,-46.309983,122.185970,1.585037
0.010000,22.006576,17.025359,37.572850,14.260002,-44.481218,182.876468,1.556339
0.010000,22.010674,17.163703,37.711255,13.840504,-41.949768,253.144998,1.525544
0.010000,22.018928,17.297990,37.845796,13.454022,-38.648198,330.157026,1.492817
0.010000,22.031362,17.428484,37.976881,13.108518,-34.550379,409.781905,1.458363
0.010000,22.047999,17.555516,38.104998,12.811700,-29.681816,486.856238,1.422425
0.010000,22.070993,17.694444,38.245816,14.081813,127.011343,15669.315900,1.398622
0.010000,22.101829,17.865090,38.419225,17.340947,325.913346,19890.200318,1.385327
0.010000,22.134773,18.034264,38.591578,17.235212,-10.573481,-33648.682657,1.371504
0.010000,22.169873,18.201878,38.762827,17.124925,-11.028672,-45.519113,1.357129
0.010000,22.207173,18.367835,38.932924,17.009730,-11.519548,-49.087632,1.342179
0.010000,22.246718,18.532037,39.101821,16.889661,-12.006901,-48.735290,1.326628
0.010000,22.288551,18.694380,39.269467,16.764623,-12.503784,-49.688322,1.310452
0.010000,22.332710,18.854758,39.435813,16.634642,-12.998053,-49.426851,1.293626
0.010000,22.379235,19.013060,39.600810,16.499713,-13.492951,-49.489858,1.276126
0.010000,22.428160,19.169172,39.764410,16.359914,-13.979926,-48.697453,1.257927
0.010000,22.479515,19.322979,39.926564,16.215412,-14.450220,-47.029395,1.239005
0.010000,22.533329,19.474364,40.087229,16.066496,-14.891582,-44.136183,1.219339
0.010000,22.589625,19.623208,40.246364,15.913483,-15.301303,-40.972110,1.198907
0.010000,22.648423,19.769395,40.403932,15.756811,-15.667216,-36.591292,1.177693
0.010000,22.709739,19.912809,40.559904,15.597198,-15.961282,-29.406649,1.155681
0.010000,22.773584,20.053338,40.714255,15.435181,-16.201625,-24.034302,1.132858
0.010000,22.839965,20.190874,40.866974,15.271821,-16.336072,-13.444669,1.109219
0.010000,22.908888,20.325318,41.018055,15.108109,-16.371157,-3.508471,1.084762
