dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,23.188327,25.956345,42.129866,25.833976,-11.941594,-130.815659,0.459594
0.010000,23.420296,26.067054,42.386899,25.703326,-13.064961,-112.336781,0.431073
0.010000,23.654012,26.170617,42.642533,25.563329,-13.999741,-93.477979,0.403252
0.010000,23.889117,26.267165,42.896690,25.415761,-14.756799,-75.705820,0.376169
0.010000,24.125284,26.356858,43.149316,25.262546,-15.321427,-56.462747,0.349853
0.010000,24.362215,26.439880,43.400371,25.105554,-15.699223,-37.779652,0.324321
0.010000,24.599639,26.516431,43.649831,24.945974,-15.958006,-25.878208,0.299588
0.010000,24.837316,26.586728,43.897686,24.785512,-16.046224,-8.821867,0.275658
0.010000,25.075035,26.650996,44.143939,24.625279,-16.023319,2.290528,0.252529
0.010000,25.312608,26.709463,44.388601,24.466174,-15.910451,11.286838,0.230195
0.010000,25.549877,26.762363,44.631695,24.309472,-15.670264,24.018694,0.208646
0.010000,25.786703,26.809927,44.873250,24.155471,-15.400036,27.022762,0.187866
0.010000,26.022968,26.852384,45.113300,24.004988,-15.048353,35.168278,0.167839
0.010000,26.258578,26.889957,45.351887,23.858736,-14.625145,42.320820,0.148543
0.010000,26.498121,26.923282,45.593737,24.184989,32.625232,4725.037686,0.125049
0.010000,26.766252,26.952226,45.863426,26.968885,278.389649,24576.441682,0.090197
0.010000,27.032039,26.971786,46.129931,26.650543,-31.834223,-31022.387142,0.056939
0.010000,27.294692,26.982586,46.392807,26.287510,-36.303257,-446.903390,0.025496
0.010000,27.553552,26.985341,46.651681,25.887444,-40.006662,-370.340574,6.279239
0.010000,27.808092,26.980825,46.906261,25.458030,-42.941403,-293.474084,6.251945
0.010000,28.057916,26.969848,47.156326,25.006497,-45.153214,-221.181042,6.226909
0.010000,28.302746,26.953226,47.401719,24.539298,-46.719929,-156.671548,6.204210
0.010000,28.542406,26.931768,47.642338,24.061900,-47.739862,-101.993288,6.183898
0.010000,28.776809,26.906257,47.878125,23.578694,-48.320549,-58.068667,6.166003
0.010000,29.005934,26.877446,48.109055,23.093008,-48.568558,-24.800887,6.150537
